系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
昆明地铁,地铁1号线,900000066456,环城南路(北部汽车站),0.0,0.0,102.720954,25.024080,530100021492019,,
昆明地铁,地铁1号线,900000066456,昆明火车站,1.189,1.189,102.723795,25.013698,530100021492018,,
昆明地铁,地铁1号线,900000066456,福德,1.005,2.194,102.730365,25.006896,530100021492017,,
昆明地铁,地铁1号线,900000066456,日新路,0.778,2.972,102.735077,25.001354,530100021492016,,
昆明地铁,地铁1号线,900000066456,巫家坝,0.831,3.803,102.741612,24.996793,530100021492015,,
昆明地铁,地铁1号线,900000066456,昌宏西路,1.497,5.3,102.751029,24.986379,530100021492014,,
昆明地铁,地铁1号线,900000066456,晓东村,1.108,6.408,102.761957,24.985303,530100021492013,,
昆明地铁,地铁1号线,900000066456,珥季路,1.5,7.908,102.767018,24.972614,530100021492012,,
昆明地铁,地铁1号线,900000066456,星耀路,1.745,9.653,102.768296,24.956967,530100021492011,,
昆明地铁,地铁1号线,900000066456,新亚洲体育城,1.108,10.761,102.769808,24.947096,530100021492010,,
昆明地铁,地铁1号线,900000066456,南部汽车站,2.049,12.81,102.775250,24.929345,530100021492009,,
昆明地铁,地铁1号线,900000066456,斗南,2.889,15.699,102.791855,24.908169,530100021492008,,
昆明地铁,地铁1号线,900000066456,春融街,4.311,20.01,102.825302,24.884035,530100021492007,,
昆明地铁,地铁1号线,900000066456,市级行政中心清风,1.142,21.152,102.836439,24.882183,900000066456002,,
昆明地铁,地铁1号线,900000066456,宜和路,0.887,22.039,102.844818,24.884599,900000066456003,,
昆明地铁,地铁1号线,900000066456,白龙潭,1.307,23.346,102.851919,24.874763,900000066456004,,
昆明地铁,地铁1号线,900000066456,昆明南火车站,0.974,24.32,102.860168,24.870209,900000066456005,,
