系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
沈阳地铁,地铁10号线,丁香湖,0.0,0.0,123.348284,41.863905,900000039634001,,
沈阳地铁,地铁10号线,元江街,1.55,1.55,123.356381,41.851337,900000039634002,,
沈阳地铁,地铁10号线,向工街,1.831,3.381,123.363829,41.835836,900000039634003,,
沈阳地铁,地铁10号线,塔湾街,1.174,4.555,123.374484,41.82887,900000039634004,,
沈阳地铁,地铁10号线,淮河街沈医二院,1.335,5.89,123.390537,41.829941,900000039632002,,
沈阳地铁,地铁10号线,百鸟公园,0.889,6.779,123.40114,41.831138,900000039634006,,
沈阳地铁,地铁10号线,长江街,0.994,7.773,123.413113,41.831726,900000039634007,,
沈阳地铁,地铁10号线,中医药大学,1.338,9.111,123.42906,41.833626,210100020748016,,
沈阳地铁,地铁10号线,陵东街,1.288,10.399,123.444589,41.833166,900000039634009,,
沈阳地铁,地铁10号线,北塔,0.92,11.319,123.455667,41.833678,900000039634010,,
沈阳地铁,地铁10号线,合作街,1.591,12.91,123.473976,41.829362,900000039634011,,
沈阳地铁,地铁10号线,东北大马路,1.171,14.081,123.481886,41.820634,900000039634012,,
沈阳地铁,地铁10号线,滂江街,1.469,15.55,123.488594,41.808405,210100020752003,,
沈阳地铁,地铁10号线,长安路,1.075,16.625,123.485925,41.798948,900000039634014,,
沈阳地铁,地铁10号线,万莲,1.002,17.627,123.483277,41.790153,900000039634015,,
沈阳地铁,地铁10号线,泉园,1.454,19.081,123.478432,41.777588,900000039634016,,
沈阳地铁,地铁10号线,江东街,1.196,20.277,123.487878,41.769458,900000039634017,,
沈阳地铁,地铁10号线,长青桥,1.146,21.423,123.495686,41.760952,900000039634018,,
沈阳地铁,地铁10号线,长青南街,1.913,23.336,123.501572,41.744319,900000039632022,,
沈阳地铁,地铁10号线,理工大学,1.281,24.617,123.505348,41.733153,900000039634020,,
沈阳地铁,地铁10号线,张沙布,1.466,26.083,123.513012,41.721276,900000039634021,,
沈阳地铁,地铁1号线,双马,0.0,0.0,123.658486,41.85526,210100020752024,,
沈阳地铁,地铁1号线,植物园,1.615,1.615,123.639085,41.853839,210100020752025,,
沈阳地铁,地铁1号线,伯官北大街,1.073,2.688,123.626221,41.854981,210100020752026,,
沈阳地铁,地铁1号线,水泉,1.371,4.059,123.615499,41.845586,210100020752027,,
沈阳地铁,地铁1号线,东陵公园,2.42,6.479,123.595618,41.829638,210100020752028,,
沈阳地铁,地铁1号线,前陵,1.532,8.011,123.579731,41.822596,210100020752029,,
沈阳地铁,地铁1号线,农业大学,1.268,9.279,123.564477,41.821708,210100020752030,,
沈阳地铁,地铁1号线,东大营街,1.624,10.903,123.545359,41.818504,210100020752031,,
沈阳地铁,地铁1号线,新宁街,1.32,12.223,123.53113,41.813171,210100020752032,,
沈阳地铁,地铁1号线,新惠街,1.087,13.31,123.521484,41.806543,210100020752033,,
沈阳地铁,地铁1号线,黎明广场,1.434,14.744,123.504308,41.80812,210100020752002,,
沈阳地铁,地铁1号线,滂江街,1.303,16.047,123.488594,41.808405,210100020752003,,
沈阳地铁,地铁1号线,东中街,1.615,17.662,123.470596,41.802831,210100020752004,,
